TWA\TWS;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.32;0.43;0.5;0.36;0.37;0.34;0.42;0.44;0.64;0.67;0.68;0.69;0.71;0.73;0.77;0.79;0.77;0.67;0.54;0.79;0.8;0.71;0.7;0.55;0.54;0.6;0.62;0.65;0.66;0.51;0.31
16;0;1.32;1.77;2.09;1.7;1.77;1.6;1.65;1.58;2.23;2.33;2.39;2.43;2.49;2.55;2.69;2.75;2.7;2.4;1.97;2.75;2.79;2.52;2.48;2.01;1.98;2.15;2.23;2.33;2.37;1.34;1.1
24;0;2.22;2.98;3.52;3.59;3.72;3.4;3.6;3.58;4.36;4.55;4.66;4.74;4.86;4.98;5.21;5.32;5.26;4.76;4.02;5.36;5.46;5.01;4.94;4.11;4.04;4.37;4.52;4.7;4.73;2.84;2.2
32;0;3.08;4.12;4.88;5.38;5.59;5.09;5.45;5.58;6.56;6.86;7.01;7.14;7.32;7.5;7.76;7.85;7.92;7.38;6.44;8.07;8.23;7.78;7.66;6.64;6.54;6.98;7.22;7.46;7.39;4.62;3.44
40;0;4.35;5.59;6.45;6.99;7.27;6.62;7.15;7.55;8.27;8.64;8.85;9;9.23;9.46;9.54;9.74;9.98;9.76;9;10.18;10.37;10.28;10.14;9.35;9.21;9.67;9.99;10.21;9.91;6.52;4.61
41;0;4.5;5.75;6.62;7.14;7.39;6.87;7.33;7.77;8.41;8.79;8.99;9.16;9.39;9.61;9.72;9.93;10.15;10.01;9.31;10.35;10.54;10.54;10.39;9.68;9.54;9.99;10.32;10.53;10.19;6.84;4.74
44;0;4.97;6.21;6.97;7.4;7.74;7.62;8.07;8.38;8.9;9.19;9.37;9.54;9.8;10.03;10.14;10.39;10.58;10.64;10.21;10.81;11;11.21;11.04;10.67;10.51;10.9;11.26;11.44;10.91;7.59;5.07
45;0;5.11;6.38;7.07;7.5;7.87;7.88;8.31;8.62;9.07;9.29;9.52;9.69;9.91;10.19;10.29;10.5;10.71;10.79;10.5;10.97;11.16;11.37;11.23;10.99;10.82;11.18;11.55;11.71;11.09;7.79;5.16
46;0;5.26;6.49;7.17;7.59;8;8.13;8.55;8.88;9.22;9.4;9.63;9.81;10.03;10.36;10.48;10.67;10.83;10.94;10.78;11.16;11.35;11.53;11.41;11.3;11.12;11.46;11.83;11.97;11.27;7.95;5.24
47;0;5.39;6.57;7.25;7.66;8.15;8.37;8.78;9.11;9.37;9.56;9.75;9.91;10.15;10.5;10.58;10.79;10.95;11.09;11.04;11.3;11.49;11.69;11.59;11.6;11.42;11.72;12.1;12.19;11.38;8.09;5.3
48;0;5.53;6.63;7.33;7.74;8.29;8.61;9;9.33;9.52;9.67;9.86;10.03;10.25;10.63;10.7;10.9;11.08;11.22;11.29;11.45;11.64;11.82;11.8;11.89;11.7;12.08;12.35;12.38;11.48;8.25;5.34
49;0;5.66;6.67;7.41;7.82;8.46;8.85;9.21;9.55;9.69;9.82;9.96;10.14;10.36;10.76;10.82;11.02;11.19;11.35;11.53;11.59;11.79;11.97;12.02;12.17;11.98;12.3;12.54;12.5;11.58;8.42;5.39
50;0;5.77;6.74;7.49;7.9;8.63;9.08;9.37;9.76;9.86;9.98;10.07;10.24;10.47;10.88;10.92;11.13;11.31;11.48;11.68;11.74;11.93;12.11;12.18;12.31;12.12;12.49;12.77;12.63;11.76;8.56;5.46
51;0;5.85;6.77;7.59;7.96;8.75;9.31;9.54;9.89;9.98;10.1;10.21;10.38;10.58;11.01;11.07;11.29;11.42;11.65;11.87;11.89;12.1;12.27;12.37;12.55;12.31;12.68;13.02;12.77;11.88;8.66;5.53
53;0;6;6.85;7.73;8.12;8.97;9.5;9.63;10.05;10.18;10.31;10.39;10.56;10.8;11.26;11.27;11.48;11.68;11.88;12.08;12.2;12.39;12.54;12.69;12.84;12.66;12.99;13.31;13.05;12.08;8.82;5.62
54;0;6.09;6.89;7.82;8.19;9.08;9.57;9.73;10.09;10.27;10.36;10.5;10.68;10.9;11.4;11.4;11.62;11.82;12.03;12.23;12.37;12.55;12.71;12.86;13.03;12.85;13.17;13.51;13.24;12.18;8.94;5.67
55;0;6.16;6.94;7.89;8.26;9.18;9.64;9.83;10.19;10.39;10.46;10.61;10.8;11.03;11.53;11.53;11.76;11.97;12.18;12.39;12.54;12.74;12.88;13.06;13.22;13.06;13.38;13.72;13.39;12.35;9.09;5.74
60;0;6.39;7.24;8.19;8.63;9.5;10;10.27;10.69;10.88;11.07;11.31;11.53;11.82;12.3;12.41;12.69;12.98;13.23;13.46;13.69;13.91;14.09;14.29;14.49;14.45;14.75;15.02;14.58;13.42;9.8;6.13
